filepath,result,solve_time_seconds
20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_42_QF_UFLIA.smt2,sat,1.1425
20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_43_QF_UFLIA.smt2,sat,1.0361
20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_19_QF_UFLIA.smt2,unknown,10.0599
20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_20_QF_UFLIA.smt2,unknown,10.0859
20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_21_QF_UFLIA.smt2,unsat,3.6620
20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_65_QF_UFLIA.smt2,unknown,11.1454
20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_66_QF_UFLIA.smt2,unknown,10.7922
20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_67_QF_UFLIA.smt2,unknown,12.5063
20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_68_QF_UFLIA.smt2,unknown,10.1785
20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_69_QF_UFLIA.smt2,unknown,10.1858
20230314-Jaroslav-Bendik-Certora/30078_f817a923328f75af7e60_27_QF_UFLIA.smt2,unknown,12.9299
20230314-Jaroslav-Bendik-Certora/30078_f817a923328f75af7e60_28_QF_UFLIA.smt2,unknown,12.8375
20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_38_QF_UFLIA.smt2,unknown,11.0725
20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_39_QF_UFLIA.smt2,unknown,10.0621
20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_40_QF_UFLIA.smt2,sat,0.5203
20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_41_QF_UFLIA.smt2,sat,6.7627
20230314-Jaroslav-Bendik-Certora/3106_afb7bc55417e43d7a22790c3576f04fc_37_QF_UFLIA.smt2,unknown,10.0501
20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_55_QF_UFLIA.smt2,unknown,10.0085
20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_56_QF_UFLIA.smt2,unknown,10.0611
20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_57_QF_UFLIA.smt2,unknown,10.0124
20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_58_QF_UFLIA.smt2,sat,0.8534
20230314-Jaroslav-Bendik-Certora/38347_525a1ca0331f2bcbf520_54_QF_UFLIA.smt2,unknown,10.0306
20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_44_QF_UFLIA.smt2,unknown,10.0475
20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_45_QF_UFLIA.smt2,unknown,10.0407
20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_46_QF_UFLIA.smt2,sat,4.5589
20230314-Jaroslav-Bendik-Certora/39657_2866defdd1f2434b69ab_47_QF_UFLIA.smt2,unknown,10.0185
20230314-Jaroslav-Bendik-Certora/39657_2866defdd1f2434b69ab_48_QF_UFLIA.smt2,sat,9.5857
20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_61_QF_UFLIA.smt2,unknown,10.0351
20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_62_QF_UFLIA.smt2,sat,7.6956
20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_63_QF_UFLIA.smt2,sat,9.2025
20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_59_QF_UFLIA.smt2,sat,5.7580
20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_60_QF_UFLIA.smt2,sat,6.3820
20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_14_QF_UFLIA.smt2,unknown,10.1682
20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_15_QF_UFLIA.smt2,unknown,11.4909
20230314-Jaroslav-Bendik-Certora/44289_b077fc096b3d41cba49f8628caff7fa5_16_QF_UFLIA.smt2,unknown,10.0614
20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_17_QF_UFLIA.smt2,unknown,15.2621
20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_18_QF_UFLIA.smt2,unknown,10.0583
20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_34_QF_UFLIA.smt2,sat,0.8380
20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_35_QF_UFLIA.smt2,unsat,3.3262
20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_36_QF_UFLIA.smt2,unknown,10.0739
20230314-Jaroslav-Bendik-Certora/52759_af0c476fe3b544b9a8507f3e42472c43_12_QF_UFLIA.smt2,unknown,10.3006
20230314-Jaroslav-Bendik-Certora/52759_af0c476fe3b544b9a8507f3e42472c43_13_QF_UFLIA.smt2,unknown,10.1617
20230314-Jaroslav-Bendik-Certora/52759_bec3a2272267494faeecb6bfaf253e3b_10_QF_UFLIA.smt2,unknown,10.0964
20230314-Jaroslav-Bendik-Certora/52759_bec3a2272267494faeecb6bfaf253e3b_11_QF_UFLIA.smt2,unknown,11.0919
20230314-Jaroslav-Bendik-Certora/63058_55d6bef5390186355f11_26_QF_UFLIA.smt2,unknown,10.0994
20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_22_QF_UFLIA.smt2,unknown,10.1416
20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_23_QF_UFLIA.smt2,unknown,10.6843
20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_24_QF_UFLIA.smt2,unknown,10.0990
20230314-Jaroslav-Bendik-Certora/63058_aa742630eef64f949de269382c1f9035_25_UFLIA.smt2,unsat,1.2213
20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_5_QF_UFLIA.smt2,unknown,10.0431
20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_6_QF_UFLIA.smt2,sat,0.7987
20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_7_QF_UFLIA.smt2,sat,1.0685
20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_8_QF_UFLIA.smt2,sat,1.8338
20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_72_QF_UFLIA.smt2,unknown,12.1262
20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_73_QF_UFLIA.smt2,unknown,11.2563
20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_74_QF_UFLIA.smt2,unknown,12.5042
20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_75_QF_UFLIA.smt2,unknown,10.9742
20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_76_QF_UFLIA.smt2,unknown,17.8006
20230314-Jaroslav-Bendik-Certora/72658_63104dadde9c6026353f_70_QF_UFLIA.smt2,sat,7.7334
20230314-Jaroslav-Bendik-Certora/72658_63104dadde9c6026353f_71_QF_UFLIA.smt2,unknown,10.0587
20230314-Jaroslav-Bendik-Certora/72771_f9d228efc97cf1458e38_64_QF_UFLIA.smt2,unknown,10.0233
20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_0_UFLIA.smt2,unknown,10.0369
20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_1_UFLIA.smt2,unknown,10.0877
20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_2_UFLIA.smt2,unknown,10.0889
20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_3_UFLIA.smt2,unknown,10.1625
20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_4_UFLIA.smt2,unknown,11.7079
20230314-Jaroslav-Bendik-Certora/93493_1fdb6cc8eb9c4363b5838af9eb8c7f1f_53_QF_UFLIA.smt2,unknown,10.3476
20230314-Jaroslav-Bendik-Certora/93493_27ab26d56d60426da02e50231269b6ff_51_QF_UFLIA.smt2,unknown,10.1698
20230314-Jaroslav-Bendik-Certora/93493_4ea6163ed03941199c785278ccc42812_49_QF_UFLIA.smt2,unknown,10.3043
20230314-Jaroslav-Bendik-Certora/93493_5990a6bf5f2740164f77_50_QF_UFLIA.smt2,unknown,14.2075
20230314-Jaroslav-Bendik-Certora/93493_798593962ee29ad45ac8_52_QF_UFLIA.smt2,unknown,10.2198
20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_29_QF_UFLIA.smt2,unknown,10.1110
20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_30_QF_UFLIA.smt2,unknown,10.1168
20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_31_QF_UFLIA.smt2,unknown,10.0584
20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_32_QF_UFLIA.smt2,unknown,10.1113
20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_33_QF_UFLIA.smt2,unknown,10.1067
mathsat/EufLaArithmetic/hard/hard10.smt2,unsat,0.8563
mathsat/EufLaArithmetic/hard/hard11.smt2,unsat,0.8858
mathsat/EufLaArithmetic/hard/hard12.smt2,unsat,0.8734
mathsat/EufLaArithmetic/hard/hard13.smt2,unsat,0.8983
mathsat/EufLaArithmetic/hard/hard14.smt2,unsat,0.9173
mathsat/EufLaArithmetic/hard/hard15.smt2,unsat,1.0091
mathsat/EufLaArithmetic/hard/hard16.smt2,unsat,0.9148
mathsat/EufLaArithmetic/hard/hard17.smt2,unsat,0.9348
mathsat/EufLaArithmetic/hard/hard18.smt2,unsat,0.9561
mathsat/EufLaArithmetic/hard/hard19.smt2,unsat,0.9668
mathsat/EufLaArithmetic/hard/hard20.smt2,unsat,0.9717
mathsat/EufLaArithmetic/hard/hard4.smt2,unsat,0.8742
mathsat/EufLaArithmetic/hard/hard5.smt2,unsat,0.8707
mathsat/EufLaArithmetic/hard/hard6.smt2,unsat,0.9980
mathsat/EufLaArithmetic/hard/hard7.smt2,unsat,1.0720
mathsat/EufLaArithmetic/hard/hard8.smt2,unsat,1.1969
mathsat/EufLaArithmetic/hard/hard9.smt2,unsat,0.9552
mathsat/EufLaArithmetic/medium/medium10.smt2,unsat,1.4090
mathsat/EufLaArithmetic/medium/medium11.smt2,unsat,1.3448
mathsat/EufLaArithmetic/medium/medium12.smt2,unsat,1.3722
mathsat/EufLaArithmetic/medium/medium13.smt2,unsat,1.3268
mathsat/EufLaArithmetic/medium/medium14.smt2,unsat,1.3798
mathsat/EufLaArithmetic/medium/medium15.smt2,unsat,1.3234
mathsat/EufLaArithmetic/medium/medium16.smt2,unsat,1.2841
mathsat/EufLaArithmetic/medium/medium17.smt2,unsat,1.3649
mathsat/EufLaArithmetic/medium/medium18.smt2,unsat,1.6131
mathsat/EufLaArithmetic/medium/medium19.smt2,unsat,1.2757
mathsat/EufLaArithmetic/medium/medium20.smt2,unsat,1.4613
mathsat/EufLaArithmetic/medium/medium5.smt2,unsat,1.2163
mathsat/EufLaArithmetic/medium/medium6.smt2,unsat,1.2615
mathsat/EufLaArithmetic/medium/medium7.smt2,unsat,1.2567
mathsat/EufLaArithmetic/medium/medium8.smt2,unsat,1.2525
mathsat/EufLaArithmetic/medium/medium9.smt2,unsat,1.2356
mathsat/Hash/hash_sat_03_03.smt2,sat,0.9610
mathsat/Hash/hash_sat_03_04.smt2,sat,0.9677
mathsat/Hash/hash_sat_03_05.smt2,sat,0.9875
mathsat/Hash/hash_sat_03_06.smt2,sat,0.9913
mathsat/Hash/hash_sat_03_07.smt2,sat,0.9919
mathsat/Hash/hash_sat_03_08.smt2,sat,1.0005
mathsat/Hash/hash_sat_03_09.smt2,sat,1.0489
mathsat/Hash/hash_sat_03_10.smt2,sat,0.9895
mathsat/Hash/hash_sat_03_11.smt2,sat,1.0179
mathsat/Hash/hash_sat_03_12.smt2,sat,1.0132
mathsat/Hash/hash_sat_03_13.smt2,sat,0.9934
mathsat/Hash/hash_sat_03_14.smt2,sat,0.9962
mathsat/Hash/hash_sat_03_15.smt2,sat,1.0385
mathsat/Hash/hash_sat_03_16.smt2,sat,1.0169
mathsat/Hash/hash_sat_03_17.smt2,sat,1.0962
mathsat/Hash/hash_sat_03_18.smt2,sat,1.1714
mathsat/Hash/hash_sat_03_19.smt2,sat,1.0507
mathsat/Hash/hash_sat_03_20.smt2,sat,1.1787
mathsat/Hash/hash_sat_04_03.smt2,sat,0.9776
mathsat/Hash/hash_sat_04_04.smt2,sat,1.0087
mathsat/Hash/hash_sat_04_05.smt2,sat,0.9799
mathsat/Hash/hash_sat_04_06.smt2,sat,1.0133
mathsat/Hash/hash_sat_04_07.smt2,sat,1.0063
mathsat/Hash/hash_sat_04_08.smt2,sat,1.0007
mathsat/Hash/hash_sat_04_09.smt2,sat,0.9867
mathsat/Hash/hash_sat_04_10.smt2,sat,1.0085
mathsat/Hash/hash_sat_04_11.smt2,sat,0.9935
mathsat/Hash/hash_sat_04_12.smt2,sat,1.0098
mathsat/Hash/hash_sat_04_13.smt2,sat,1.0082
mathsat/Hash/hash_sat_04_14.smt2,sat,0.9985
mathsat/Hash/hash_sat_04_15.smt2,sat,1.0185
